week,slot,id
1,Mon,part-01
2,Mon,part-02
5,Mon,part-03
6,Mon,part-04
7,Mon,part-05
13,Mon,part-06
1,Week,week-01
2,Week,week-02
3,Week,week-03
4,Week,week-04
5,Week,week-05
6,Week,week-06
7,Week,week-07
8,Week,week-08
9,Week,week-09
10,Week,week-10
11,Week,week-11
12,Week,week-12
13,Week,week-13
1,Thu,lecture-01
2,Tue,lecture-02
2,Thu,lecture-03
3,Tue,lecture-04
3,Thu,lecture-05
4,Tue,lecture-06
4,Thu,lecture-07
5,Tue,lecture-08
5,Thu,lecture-09
6,Tue,lecture-10
6,Thu,lecture-11
7,Tue,lecture-12
8,Tue,lecture-13
9,Tue,lecture-14
11,Tue,lecture-15
12,Tue,lecture-16
13,Tue,lecture-17
2,Second,discussion-01
3,Second,discussion-02
4,Second,discussion-03
5,Second,discussion-04
6,Second,discussion-05
7,First,discussion-06
7,Second,discussion-07
8,First,discussion-08
8,Second,discussion-09
9,First,discussion-10
9,Second,discussion-11
10,Second,discussion-12
11,First,discussion-13
11,Second,discussion-14
12,First,discussion-15
12,Second,discussion-16
13,First,discussion-17
13,Second,discussion-18
1,Sun,potw-01
2,Sun,potw-02
3,Sun,potw-03
4,Sun,potw-04
5,Sun,potw-05
6,Sun,potw-06
3,Sun,exam-00
5,Sun,exam-01
7,Sun,exam-02
